Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Buffalo Bills,6,1,0,0.857,203,98,105,15,0.8,15.8,6.2,9.5
New York Jets,5,3,0,0.625,176,159,17,2.1,0.4,2.5,0.8,1.8
Miami Dolphins,5,3,0,0.625,178,192,-14,-1.8,3,1.3,1.5,-0.2
New England Patriots,4,4,0,0.5,177,163,14,1.8,-0.1,1.7,-1.5,3.2
Baltimore Ravens,5,3,0,0.625,208,183,25,3.1,3.3,6.4,7,-0.6
Cincinnati Bengals,4,4,0,0.5,186,164,22,2.8,1.5,4.3,0.8,3.5
Cleveland Browns,3,5,0,0.375,200,199,1,0.1,-0.5,-0.4,2.3,-2.7
Pittsburgh Steelers,2,6,0,0.25,120,197,-77,-9.6,4.8,-4.8,-3.5,-1.3
Tennessee Titans,5,2,0,0.714,132,138,-6,-0.9,-1.2,-2.1,-1.5,-0.6
Indianapolis Colts,3,4,1,0.438,129,157,-28,-3.5,-1.8,-5.3,-6.4,1.1
Jacksonville Jaguars,2,6,0,0.25,172,158,14,1.8,-2.7,-1,0.6,-1.5
Houston Texans,1,5,1,0.214,116,154,-38,-5.4,-3.1,-8.6,-6.2,-2.3
Kansas City Chiefs,5,2,0,0.714,223,172,51,7.3,0.5,7.8,11.4,-3.6
Los Angeles Chargers,4,3,0,0.571,164,189,-25,-3.6,-1.7,-5.2,-0.4,-4.9
Denver Broncos,3,5,0,0.375,121,132,-11,-1.4,-2.4,-3.8,-7.8,4.1
Las Vegas Raiders,2,5,0,0.286,163,174,-11,-1.6,-2,-3.5,-0.4,-3.2
Philadelphia Eagles,7,0,0,1,196,118,78,11.1,-1.4,9.7,5,4.7
Dallas Cowboys,6,2,0,0.75,183,133,50,6.3,-0.5,5.7,1.4,4.3
New York Giants,6,2,0,0.75,163,157,6,0.8,0,0.7,-2.4,3.1
Washington Commanders,4,4,0,0.5,142,172,-30,-3.8,-0.3,-4,-4.7,0.7
Minnesota Vikings,6,1,0,0.857,173,144,29,4.1,-0.5,3.6,0.7,2.9
Green Bay Packers,3,5,0,0.375,145,173,-28,-3.5,2.2,-1.3,-0.7,-0.5
Chicago Bears,3,5,0,0.375,155,181,-26,-3.3,0.5,-2.8,-0.4,-2.3
Detroit Lions,1,6,0,0.143,173,225,-52,-7.4,2.3,-5.2,4.5,-9.6
Atlanta Falcons,4,4,0,0.5,200,205,-5,-0.6,-0.4,-1,3.2,-4.3
Tampa Bay Buccaneers,3,5,0,0.375,146,151,-5,-0.6,0.9,0.3,-5.1,5.4
New Orleans Saints,3,5,0,0.375,199,200,-1,-0.1,-0.9,-1.1,2.3,-3.4
Carolina Panthers,2,6,0,0.25,158,186,-28,-3.5,-1.1,-4.6,-2.5,-2.1
Seattle Seahawks,5,3,0,0.625,210,199,11,1.4,-1.9,-0.6,2.6,-3.2
San Francisco 49ers,4,4,0,0.5,176,147,29,3.6,-1.1,2.5,-1.1,3.6
Los Angeles Rams,3,4,0,0.429,118,157,-39,-5.6,1.9,-3.7,-3.7,0
Arizona Cardinals,3,5,0,0.375,182,210,-28,-3.5,1,-2.5,-0.1,-2.4
